tanggal,provinsi,komoditas,harga,varian_pihps
2026-04-14,DKI Jakarta,Bawang Merah,48150.0,Bawang Merah Ukuran Sedang
2026-04-14,DKI Jakarta,Beras,16800.0,Beras Kualitas Medium I
2026-04-14,DKI Jakarta,Cabai Merah,45350.0,Cabai Merah Keriting
2026-04-14,DKI Jakarta,Minyak Goreng,23750.0,Minyak Goreng Curah
2026-04-14,DKI Jakarta,Telur Ayam,29500.0,Telur Ayam Ras Segar
2026-04-14,Jawa Tengah,Bawang Merah,40000.0,Bawang Merah Ukuran Sedang
2026-04-14,Jawa Tengah,Beras,15750.0,Beras Kualitas Medium I
2026-04-14,Jawa Tengah,Cabai Merah,37400.0,Cabai Merah Keriting
2026-04-14,Jawa Tengah,Minyak Goreng,21250.0,Minyak Goreng Curah
2026-04-14,Jawa Tengah,Telur Ayam,27600.0,Telur Ayam Ras Segar
2026-04-14,Kalimantan Barat,Bawang Merah,38550.0,Bawang Merah Ukuran Sedang
2026-04-14,Kalimantan Barat,Beras,17050.0,Beras Kualitas Medium I
2026-04-14,Kalimantan Barat,Cabai Merah,74400.0,Cabai Merah Keriting
2026-04-14,Kalimantan Barat,Minyak Goreng,19150.0,Minyak Goreng Curah
2026-04-14,Kalimantan Barat,Telur Ayam,34550.0,Telur Ayam Ras Segar
2026-04-14,Kalimantan Timur,Bawang Merah,51650.0,Bawang Merah Ukuran Sedang
2026-04-14,Kalimantan Timur,Beras,16900.0,Beras Kualitas Medium I
2026-04-14,Kalimantan Timur,Cabai Merah,47100.0,Cabai Merah Keriting
2026-04-14,Kalimantan Timur,Minyak Goreng,20000.0,Minyak Goreng Curah
2026-04-14,Kalimantan Timur,Telur Ayam,32050.0,Telur Ayam Ras Segar
2026-04-14,Papua,Bawang Merah,70900.0,Bawang Merah Ukuran Sedang
2026-04-14,Papua,Beras,19100.0,Beras Kualitas Medium I
2026-04-14,Papua,Cabai Merah,56500.0,Cabai Merah Keriting
2026-04-14,Papua,Minyak Goreng,21700.0,Minyak Goreng Curah
2026-04-14,Papua,Telur Ayam,41050.0,Telur Ayam Ras Segar
2026-04-14,Riau,Bawang Merah,39000.0,Bawang Merah Ukuran Sedang
2026-04-14,Riau,Beras,16650.0,Beras Kualitas Medium I
2026-04-14,Riau,Cabai Merah,36400.0,Cabai Merah Keriting
2026-04-14,Riau,Minyak Goreng,20100.0,Minyak Goreng Curah
2026-04-14,Riau,Telur Ayam,31250.0,Telur Ayam Ras Segar
2026-04-14,Sulawesi Selatan,Bawang Merah,43900.0,Bawang Merah Ukuran Sedang
2026-04-14,Sulawesi Selatan,Beras,14700.0,Beras Kualitas Medium I
2026-04-14,Sulawesi Selatan,Cabai Merah,31750.0,Cabai Merah Keriting
2026-04-14,Sulawesi Selatan,Minyak Goreng,18400.0,Minyak Goreng Curah
2026-04-14,Sulawesi Selatan,Telur Ayam,30850.0,Telur Ayam Ras Segar
2026-04-14,Sulawesi Utara,Bawang Merah,52000.0,Bawang Merah Ukuran Sedang
2026-04-14,Sulawesi Utara,Beras,14750.0,Beras Kualitas Medium I
2026-04-14,Sulawesi Utara,Cabai Merah,34400.0,Cabai Merah Keriting
2026-04-14,Sulawesi Utara,Minyak Goreng,17100.0,Minyak Goreng Curah
2026-04-14,Sulawesi Utara,Telur Ayam,33800.0,Telur Ayam Ras Segar
2026-04-14,Sumatera Utara,Bawang Merah,39800.0,Bawang Merah Ukuran Sedang
2026-04-14,Sumatera Utara,Beras,14900.0,Beras Kualitas Medium I
2026-04-14,Sumatera Utara,Cabai Merah,22200.0,Cabai Merah Keriting
2026-04-14,Sumatera Utara,Minyak Goreng,20950.0,Minyak Goreng Curah
2026-04-14,Sumatera Utara,Telur Ayam,32400.0,Telur Ayam Ras Segar
2026-04-15,DKI Jakarta,Bawang Merah,48150.0,Bawang Merah Ukuran Sedang
2026-04-15,DKI Jakarta,Beras,16800.0,Beras Kualitas Medium I
2026-04-15,DKI Jakarta,Cabai Merah,45350.0,Cabai Merah Keriting
2026-04-15,DKI Jakarta,Minyak Goreng,23750.0,Minyak Goreng Curah
2026-04-15,DKI Jakarta,Telur Ayam,29700.0,Telur Ayam Ras Segar
2026-04-15,Jawa Tengah,Bawang Merah,39200.0,Bawang Merah Ukuran Sedang
2026-04-15,Jawa Tengah,Beras,15750.0,Beras Kualitas Medium I
2026-04-15,Jawa Tengah,Cabai Merah,38900.0,Cabai Merah Keriting
2026-04-15,Jawa Tengah,Minyak Goreng,21300.0,Minyak Goreng Curah
2026-04-15,Jawa Tengah,Telur Ayam,27600.0,Telur Ayam Ras Segar
2026-04-15,Kalimantan Barat,Bawang Merah,39700.0,Bawang Merah Ukuran Sedang
2026-04-15,Kalimantan Barat,Beras,17050.0,Beras Kualitas Medium I
2026-04-15,Kalimantan Barat,Cabai Merah,73750.0,Cabai Merah Keriting
2026-04-15,Kalimantan Barat,Minyak Goreng,19150.0,Minyak Goreng Curah
2026-04-15,Kalimantan Barat,Telur Ayam,34300.0,Telur Ayam Ras Segar
2026-04-15,Kalimantan Timur,Bawang Merah,51250.0,Bawang Merah Ukuran Sedang
2026-04-15,Kalimantan Timur,Beras,16850.0,Beras Kualitas Medium I
2026-04-15,Kalimantan Timur,Cabai Merah,48350.0,Cabai Merah Keriting
2026-04-15,Kalimantan Timur,Minyak Goreng,20100.0,Minyak Goreng Curah
2026-04-15,Kalimantan Timur,Telur Ayam,32000.0,Telur Ayam Ras Segar
2026-04-15,Papua,Bawang Merah,70900.0,Bawang Merah Ukuran Sedang
2026-04-15,Papua,Beras,19100.0,Beras Kualitas Medium I
2026-04-15,Papua,Cabai Merah,56000.0,Cabai Merah Keriting
2026-04-15,Papua,Minyak Goreng,21700.0,Minyak Goreng Curah
2026-04-15,Papua,Telur Ayam,41300.0,Telur Ayam Ras Segar
2026-04-15,Riau,Bawang Merah,38850.0,Bawang Merah Ukuran Sedang
2026-04-15,Riau,Beras,16650.0,Beras Kualitas Medium I
2026-04-15,Riau,Cabai Merah,35650.0,Cabai Merah Keriting
2026-04-15,Riau,Minyak Goreng,19950.0,Minyak Goreng Curah
2026-04-15,Riau,Telur Ayam,31150.0,Telur Ayam Ras Segar
2026-04-15,Sulawesi Selatan,Bawang Merah,43400.0,Bawang Merah Ukuran Sedang
2026-04-15,Sulawesi Selatan,Beras,14700.0,Beras Kualitas Medium I
2026-04-15,Sulawesi Selatan,Cabai Merah,32500.0,Cabai Merah Keriting
2026-04-15,Sulawesi Selatan,Minyak Goreng,18400.0,Minyak Goreng Curah
2026-04-15,Sulawesi Selatan,Telur Ayam,30650.0,Telur Ayam Ras Segar
2026-04-15,Sulawesi Utara,Bawang Merah,50500.0,Bawang Merah Ukuran Sedang
2026-04-15,Sulawesi Utara,Beras,14750.0,Beras Kualitas Medium I
2026-04-15,Sulawesi Utara,Cabai Merah,34400.0,Cabai Merah Keriting
2026-04-15,Sulawesi Utara,Minyak Goreng,17200.0,Minyak Goreng Curah
2026-04-15,Sulawesi Utara,Telur Ayam,33650.0,Telur Ayam Ras Segar
2026-04-15,Sumatera Utara,Bawang Merah,40150.0,Bawang Merah Ukuran Sedang
2026-04-15,Sumatera Utara,Beras,14900.0,Beras Kualitas Medium I
2026-04-15,Sumatera Utara,Cabai Merah,20450.0,Cabai Merah Keriting
2026-04-15,Sumatera Utara,Minyak Goreng,20900.0,Minyak Goreng Curah
2026-04-15,Sumatera Utara,Telur Ayam,32500.0,Telur Ayam Ras Segar
2026-04-16,DKI Jakarta,Bawang Merah,47300.0,Bawang Merah Ukuran Sedang
2026-04-16,DKI Jakarta,Beras,16800.0,Beras Kualitas Medium I
2026-04-16,DKI Jakarta,Cabai Merah,45350.0,Cabai Merah Keriting
2026-04-16,DKI Jakarta,Minyak Goreng,23750.0,Minyak Goreng Curah
2026-04-16,DKI Jakarta,Telur Ayam,29500.0,Telur Ayam Ras Segar
2026-04-16,Jawa Tengah,Bawang Merah,38850.0,Bawang Merah Ukuran Sedang
2026-04-16,Jawa Tengah,Beras,15750.0,Beras Kualitas Medium I
2026-04-16,Jawa Tengah,Cabai Merah,41050.0,Cabai Merah Keriting
2026-04-16,Jawa Tengah,Minyak Goreng,21300.0,Minyak Goreng Curah
2026-04-16,Jawa Tengah,Telur Ayam,27500.0,Telur Ayam Ras Segar
2026-04-16,Kalimantan Barat,Bawang Merah,40650.0,Bawang Merah Ukuran Sedang
2026-04-16,Kalimantan Barat,Beras,17100.0,Beras Kualitas Medium I
2026-04-16,Kalimantan Barat,Cabai Merah,70650.0,Cabai Merah Keriting
2026-04-16,Kalimantan Barat,Minyak Goreng,19200.0,Minyak Goreng Curah
2026-04-16,Kalimantan Barat,Telur Ayam,34300.0,Telur Ayam Ras Segar
2026-04-16,Kalimantan Timur,Bawang Merah,50400.0,Bawang Merah Ukuran Sedang
2026-04-16,Kalimantan Timur,Beras,16850.0,Beras Kualitas Medium I
2026-04-16,Kalimantan Timur,Cabai Merah,47500.0,Cabai Merah Keriting
2026-04-16,Kalimantan Timur,Minyak Goreng,20300.0,Minyak Goreng Curah
2026-04-16,Kalimantan Timur,Telur Ayam,32050.0,Telur Ayam Ras Segar
2026-04-16,Papua,Bawang Merah,70750.0,Bawang Merah Ukuran Sedang
2026-04-16,Papua,Beras,19100.0,Beras Kualitas Medium I
2026-04-16,Papua,Cabai Merah,54500.0,Cabai Merah Keriting
2026-04-16,Papua,Minyak Goreng,21700.0,Minyak Goreng Curah
2026-04-16,Papua,Telur Ayam,41300.0,Telur Ayam Ras Segar
2026-04-16,Riau,Bawang Merah,38100.0,Bawang Merah Ukuran Sedang
2026-04-16,Riau,Beras,16650.0,Beras Kualitas Medium I
2026-04-16,Riau,Cabai Merah,34800.0,Cabai Merah Keriting
2026-04-16,Riau,Minyak Goreng,19950.0,Minyak Goreng Curah
2026-04-16,Riau,Telur Ayam,31150.0,Telur Ayam Ras Segar
2026-04-16,Sulawesi Selatan,Bawang Merah,43400.0,Bawang Merah Ukuran Sedang
2026-04-16,Sulawesi Selatan,Beras,14700.0,Beras Kualitas Medium I
2026-04-16,Sulawesi Selatan,Cabai Merah,32750.0,Cabai Merah Keriting
2026-04-16,Sulawesi Selatan,Minyak Goreng,18400.0,Minyak Goreng Curah
2026-04-16,Sulawesi Selatan,Telur Ayam,30650.0,Telur Ayam Ras Segar
2026-04-16,Sulawesi Utara,Bawang Merah,50250.0,Bawang Merah Ukuran Sedang
2026-04-16,Sulawesi Utara,Beras,14750.0,Beras Kualitas Medium I
2026-04-16,Sulawesi Utara,Cabai Merah,35650.0,Cabai Merah Keriting
2026-04-16,Sulawesi Utara,Minyak Goreng,17300.0,Minyak Goreng Curah
